q1,q2,q3,q4,q5,q6,q7,q12,q13,q15,q18,q24
3,1,1,1,C,1.63,56.7,1,1,1,1,2
4,2,1,2,E,,,1,1,2,2,1
4,1,2,2,E,1.63,49.44,1,1,1,2,2
,2,2,2,E,,,1,1,1,2,2
6,1,3,2,E,,,1,1,1,2,2
5,1,3,2,E,1.68,58.97,1,1,2,1,2
6,2,4,2,E,1.78,83.92,1,1,1,2,2
7,2,4,2,E,1.75,71.22,1,1,1,2,2
3,1,1,1,,1.55,43.09,1,1,1,2,2
4,1,2,2,C,1.73,111.13,1,1,1,2,2
5,1,2,2,E,1.73,53.52,1,1,1,2,1
7,2,3,2,E,,,1,1,1,,2
5,2,3,2,E,1.7,69.4,1,3,1,2,2
7,2,4,2,E,1.83,65.77,5,,1,1,2
7,1,4,2,E,1.6,49.9,1,1,1,2,2
4,1,1,2,E,1.63,79.38,1,1,1,2,2
3,2,1,2,E,1.75,108.86,1,1,1,2,2
5,1,2,2,A   E,1.65,67.13,1,1,2,2,1
4,2,2,2,E,1.8,71.22,1,1,1,2,1
6,1,3,2,E,1.8,89.81,1,1,1,2,1
5,2,3,2,E,1.8,90.72,1,1,1,2,2
6,1,4,2,E,1.5,54.43,1,1,1,2,2
6,1,4,2,E,1.7,70.31,1,1,1,2,2
4,2,1,2,C,1.68,63.5,1,3,1,1,2
4,2,1,2,A   E,1.75,76.66,1,1,1,2,2
5,2,2,2,E,1.7,58.06,1,1,1,1,2
5,2,2,2,E,1.7,95.26,1,1,1,2,1
6,1,3,2,E,1.75,127.92,1,1,1,2,2
7,2,4,2,E,1.78,61.24,1,1,1,2,2
7,2,4,2,E,1.88,124.74,1,1,1,2,2
4,1,1,2,E,1.6,81.65,1,1,1,2,2
5,1,2,2,E,1.55,44.45,1,1,1,1,2
3,1,1,2,E,1.6,48.99,1,1,1,2,2
4,1,2,2,E,1.63,63.5,1,1,1,2,2
5,2,4,2,E,1.83,95.26,1,1,1,2,2
7,1,4,2,E,1.6,63.5,1,1,1,2,2
4,2,1,2,E,1.7,58.97,1,1,1,2,2
4,2,2,2,E,1.83,104.33,1,5,1,2,2
6,1,3,2,E,1.75,54.43,1,1,1,2,2
6,1,4,2,E,1.63,83.92,1,1,1,2,2
6,1,4,2,E,1.68,86.18,1,1,1,2,2
4,2,1,2,A   E,1.83,74.84,1,1,1,2,2
3,2,1,2,E,1.88,70.31,1,1,2,2,2
6,2,3,2,E,1.8,140.62,1,1,1,2,2
7,1,4,2,E,1.63,71.67,1,1,1,2,2
6,1,4,1,E,1.63,61.24,1,1,1,2,2
3,1,1,2,A  DE,,,1,1,5,1,1
3,1,1,2,E,1.7,61.24,1,1,1,,1
5,1,3,1,B,,,1,1,1,2,2
7,2,4,2,E,1.83,86.18,1,1,3,2,2
7,2,4,2,E,,,1,1,1,2,2
3,2,1,2,E,1.73,66.23,5,1,1,2,2
3,1,,2,E,1.7,48.99,1,1,2,2,2
5,1,3,2,E,1.83,68.49,1,1,1,2,1
6,1,4,2,E,1.6,58.51,1,1,1,2,1
6,2,4,2,E,1.85,74.84,1,1,1,1,2
4,1,1,2,E,1.68,79.38,1,1,3,1,2
5,1,3,2,E,1.7,74.84,1,1,1,2,1
6,1,4,2,E,1.7,58.06,1,1,1,2,2
6,1,4,2,E,,,1,1,1,2,1
3,1,1,2,A,1.57,45.36,1,1,1,1,2
3,2,1,2,E,1.65,58.06,1,1,1,2,2
7,2,4,2,E,1.83,71.22,1,1,1,1,2
6,2,4,2,E,1.73,73.94,1,1,1,1,2
4,2,1,2,E,1.68,46.72,1,1,1,2,2
3,1,1,2,E,1.57,48.99,1,1,8,2,1
5,1,2,2,E,1.75,58.97,1,1,1,2,2
4,1,1,2,E,1.52,41.28,1,1,4,2,1
4,1,1,2,E,1.63,55.79,1,1,2,1,1
5,2,2,2,E,1.75,66.68,4,1,1,2,2
7,2,2,2,ABCDE,1.55,136.08,5,5,8,1,2
5,1,3,2,E,1.63,61.24,1,1,1,2,2
6,1,4,2,E,1.75,59.88,1,1,1,2,2
7,1,4,2,E,1.57,50.8,1,1,1,1,1
5,2,1,2,E,1.7,94.35,1,1,1,2,2
4,2,1,2,E,1.73,61.24,1,1,1,2,2
4,2,1,2,B  E,1.78,65.77,1,1,1,2,2
4,2,1,2,E,1.63,54.89,1,1,1,2,1
4,1,2,1,E,1.65,56.25,1,1,1,2,2
5,1,2,2,E,1.55,39.92,1,1,1,2,1
5,2,3,1,D,1.65,58.97,1,1,1,2,2
7,2,4,2,E,1.83,65.77,1,1,1,2,2
6,2,4,2,A,1.8,68.04,1,1,1,1,2
4,2,1,2,C,1.78,63.05,1,5,4,1,2
3,1,1,2,E,,,1,1,1,2,2
5,1,2,2,E,1.68,53.52,1,1,1,1,2
4,1,2,2,E,1.68,68.04,1,1,1,2,2
5,2,3,2,E,1.75,55.79,1,1,1,,2
7,2,3,2,E,1.9,68.49,1,1,1,2,2
6,1,4,2,E,1.52,72.58,1,1,1,2,1
7,2,4,2,E,,,1,1,1,2,2
4,2,1,2,E,1.75,58.06,2,1,1,2,2
4,1,2,1,E,1.6,56.7,1,1,1,1,2
5,1,2,2,C E,1.57,86.18,1,1,1,2,
5,2,3,2,E,1.68,51.26,1,1,3,1,2
6,1,4,2,A   E,1.7,58.97,1,1,1,1,1
7,2,4,2,E,1.8,82.56,1,1,1,1,2
4,2,1,2,E,1.9,102.06,1,1,1,2,2
3,2,1,2,E,1.68,72.58,1,1,1,2,2
5,2,1,2,E,1.88,90.72,1,3,1,2,1
7,1,4,2,E,1.55,43.09,1,1,1,2,2
4,1,2,2,E,1.7,106.6,1,1,1,2,2
5,2,3,2,E,,,1,1,1,1,2
4,1,1,2,E,1.6,55.79,1,1,1,2,2
6,1,4,2,E,1.73,59.88,1,1,1,2,2
4,2,2,2,E,1.83,104.33,1,1,1,1,2
6,2,3,2,E,1.73,54.43,1,1,1,2,2
5,2,2,1,E,1.68,56.7,1,1,1,2,2
5,2,3,2,E,1.83,72.58,1,1,1,2,2
4,1,1,1,E,1.6,86.18,1,1,1,1,2
7,2,4,2,E,1.83,77.11,1,1,1,2,2
4,2,2,2,E,1.88,61.24,1,1,3,2,1
6,2,3,2,E,1.73,61.69,1,1,1,2,2
4,2,1,2,E,1.6,67.13,1,1,1,2,1
6,1,4,2,E,1.7,63.5,1,1,2,2,2
4,1,1,2,E,1.68,56.7,1,1,1,2,2
6,2,4,2,E,1.68,61.24,1,1,1,2,2
5,1,2,2,E,1.6,89.81,1,1,1,1,2
5,2,3,2,E,1.83,72.58,1,1,1,2,2
3,2,1,2,E,1.7,68.04,1,5,1,2,1
6,1,4,2,E,1.7,68.04,1,1,1,2,2
5,1,2,2,E,1.6,50.8,1,1,1,2,1
7,2,3,2,E,1.73,71.67,1,1,,2,2
3,1,1,2,E,1.78,79.38,1,1,1,2,1
7,1,4,2,E,1.7,82.56,1,1,1,2,2
6,2,2,1,E,,,1,1,1,2,
5,2,3,2,E,1.78,110.22,1,1,1,2,2
4,2,2,2,E,1.73,63.5,1,1,1,2,2
6,2,3,2,A CDE,1.83,67.13,1,5,1,1,1
4,1,1,2,E,1.63,43.09,1,1,1,2,1
7,1,4,2,E,,,1,1,1,2,1
4,1,2,2,E,1.75,79.38,1,1,1,2,2
4,1,1,2,E,1.55,68.04,1,1,1,2,
7,2,4,2,E,1.78,56.7,1,1,1,2,2
3,1,1,2,E,1.68,45.36,1,1,1,2,1
6,1,4,2,E,1.73,68.04,1,1,1,2,2
5,2,1,2,E,1.83,63.5,1,1,1,2,2
6,1,4,2,E,1.52,54.43,1,1,3,2,2
4,2,2,2,E,1.8,61.24,1,1,1,2,2
4,2,1,2,E,1.8,54.43,1,1,1,2,2
7,1,4,2,E,1.68,86.18,5,1,2,2,1
5,1,2,2,E,1.63,54.43,1,1,1,2,2
4,1,1,2,E,,,1,1,3,2,1
6,2,4,2,E,1.65,63.5,1,1,1,2,2
5,2,2,1,A,1.78,54.43,1,1,1,2,2
5,2,1,1,C,,,5,5,8,1,2
7,1,4,2,E,1.73,77.11,1,1,1,2,2
4,2,2,2,E,1.8,65.77,1,5,1,2,2
5,2,3,1,E,1.7,68.04,1,1,1,2,2
3,2,1,2,E,1.73,63.5,1,1,1,2,2
7,1,4,2,E,1.7,91.17,1,1,1,2,2
4,2,2,1,E,1.7,65.77,1,1,1,1,2
5,2,3,2,E,1.78,61.69,1,1,1,2,
5,2,1,2,E,1.75,86.18,1,3,2,2,2
4,1,2,2,E,,,1,1,1,2,2
6,1,3,2,E,1.57,58.97,1,1,1,2,1
4,1,1,2,E,1.57,38.56,1,1,2,2,2
6,1,4,2,E,1.85,72.12,1,1,1,2,2
6,2,2,1,,1.65,63.5,1,1,1,2,2
5,1,3,2,E,,,1,1,3,1,2
4,2,1,2,E,1.65,77.11,1,1,1,2,2
6,1,4,2,E,1.52,61.24,1,1,1,2,2
5,2,3,2,E,1.78,95.26,1,4,1,1,2
4,1,1,2,A   E,,,1,1,1,2,2
7,1,4,2,E,1.63,63.5,1,1,1,2,2
4,2,2,2,E,1.8,49.9,1,1,1,2,1
7,2,3,2,A,1.63,99.79,1,1,1,2,2
4,2,2,2,C,1.7,56.7,1,1,3,2,2
5,2,3,2,E,1.85,65.77,1,1,1,2,1
3,1,1,2,E,1.63,95.26,1,1,1,2,1
7,1,4,2,C E,1.55,95.26,1,1,1,1,2
4,1,2,1,,,,1,1,1,2,1
5,2,3,2,A   E,1.8,83.92,1,1,2,2,2
3,1,1,2,E,1.63,45.36,1,1,1,2,2
6,1,4,2,E,1.57,52.16,1,1,2,2,2
4,1,2,2,E,1.6,63.5,1,1,1,2,1
6,1,3,2,E,1.57,48.08,1,1,1,2,2
4,1,1,2,E,1.6,61.24,1,1,1,2,2
6,2,4,2,C E,1.9,97.52,1,1,2,2,1
4,1,2,2,E,1.63,57.15,1,1,1,2,2
5,1,3,2,E,1.63,68.04,1,1,1,2,2
4,1,1,2,C E,,,1,1,1,1,2
6,1,4,2,E,1.65,49.9,1,1,1,2,2
6,1,2,1,,1.57,81.65,1,1,1,2,2
6,1,3,2,E,1.6,57.15,1,1,1,2,1
3,2,1,1,,1.83,63.5,1,1,1,2,2
7,1,4,2,E,1.57,47.63,1,1,1,2,2
4,1,2,2,E,1.57,54.43,1,1,1,1,1
5,1,3,2,B,1.52,68.04,1,1,1,2,2
5,2,1,,,1.63,51.26,1,1,1,2,2
7,2,4,2,E,1.73,74.84,1,1,1,2,1
4,1,2,2,E,1.73,49.44,1,1,1,2,2
6,1,3,2,E,1.65,54.43,1,1,1,2,2
4,2,1,2,C E,1.8,74.39,1,1,1,2,2
6,2,4,2,E,1.78,58.97,1,5,1,2,2
5,2,2,2,E,,,1,1,4,1,1
6,2,3,2,E,1.73,72.58,1,1,1,2,2
7,1,4,2,C,1.73,90.72,1,1,1,2,2
1,1,2,1,ABCDE,,,1,1,1,2,2
6,2,3,1,E,,,1,1,1,2,2
6,2,2,2,E,1.65,58.97,1,1,1,1,2
4,2,2,1,C E,1.78,57.61,,,,1,2
5,2,2,2,B,1.83,81.65,1,1,3,1,1
5,1,2,2,C E,1.5,58.97,1,1,1,2,2
5,1,3,2,E,1.55,72.58,1,1,1,2,2
5,1,2,1,,1.57,79.38,1,1,1,1,2
5,2,2,1,C,1.73,54.43,1,1,1,2,2
6,1,3,1,D,1.55,77.11,1,1,1,2,2
4,2,1,2,C,1.75,80.29,1,1,1,2,2
4,1,1,1,C,1.68,63.5,1,1,1,2,2
4,1,2,1,E,1.63,98.43,1,1,1,2,2
5,2,1,1,C,1.75,52.16,1,1,2,1,2
5,2,2,1,E,1.65,54.43,1,1,1,1,2
5,2,2,1,C,1.78,61.24,2,1,2,2,2
5,2,3,2,C E,1.85,70.31,1,1,1,1,1
5,2,2,2,C,1.65,72.58,1,1,1,2,2
6,1,2,1,C,1.6,90.72,1,1,2,1,2
5,1,2,1,C,1.55,54.43,1,1,1,1,2
6,1,3,2,C E,1.6,58.97,1,1,1,2,2
6,1,3,1,E,1.55,42.18,1,1,2,1,1
5,1,2,1,C E,1.55,52.62,1,1,1,1,2
6,1,3,1,E,1.55,61.69,1,1,1,2,2
4,2,1,2,CDE,1.75,58.97,1,1,1,1,
5,1,2,2,C,1.6,62.6,1,1,2,1,2
3,2,1,2,E,1.75,64.86,1,1,1,2,2
5,1,2,,E,,,1,1,1,2,2
5,2,3,2,B,1.6,58.51,1,1,1,2,2
7,1,4,2,E,1.63,58.06,1,1,1,2,2
4,1,1,2,E,,,1,1,1,2,2
4,2,2,2,E,1.75,72.58,1,1,1,2,2
6,1,3,2,E,1.68,54.43,1,1,1,2,1
6,1,4,2,E,1.73,63.5,1,1,1,2,1
3,2,1,2,E,1.4,45.36,1,1,1,2,1
5,2,2,2,E,1.8,65.77,1,1,1,2,2
6,1,3,2,E,1.63,46.72,1,1,1,2,2
6,2,4,2,E,1.85,86.18,1,1,1,2,2
3,2,1,2,E,1.75,70.31,1,1,1,2,2
4,2,2,2,E,1.78,70.31,1,1,1,2,2
5,1,3,2,E,1.6,77.11,1,1,1,2,1
6,2,4,2,E,1.83,70.31,1,1,1,2,2
4,1,1,2,B,1.52,44,1,1,1,2,1
5,2,2,2,E,1.68,56.7,1,1,1,2,2
5,1,3,2,E,1.57,54.43,1,1,1,2,2
6,2,4,2,E,1.7,65.77,1,1,1,2,2
3,2,1,1,C,1.73,83.92,1,1,1,2,2
5,1,2,2,B,1.57,59.88,1,1,1,2,2
5,2,3,2,E,,,1,1,1,2,2
3,,4,2,E,,,1,1,1,2,2
4,2,1,2,E,1.68,47.63,1,1,1,2,2
6,1,3,2,E,1.7,61.24,1,1,1,2,2
6,1,3,2,E,1.7,61.24,1,1,1,2,2
7,2,4,2,E,1.83,77.11,1,1,1,2,2
4,2,1,2,E,1.7,58.97,1,1,1,2,2
5,1,2,2,E,1.63,52.16,1,1,1,2,1
5,2,3,2,E,1.73,63.5,1,1,1,2,2
3,2,1,2,E,1.7,58.97,1,1,1,2,1
4,1,2,1,A   E,1.65,65.77,1,1,1,2,2
5,1,3,2,E,1.65,56.7,1,1,1,2,2
7,2,4,2,E,1.78,73.03,1,1,1,2,2
4,2,1,2,E,1.65,50.8,1,1,1,2,2
5,1,2,2,E,1.68,59.88,1,1,1,2,2
5,1,3,2,E,1.65,49.9,1,1,1,2,2
6,2,4,2,E,1.75,80.74,1,1,1,2,1
3,2,1,2,E,1.83,94.8,1,1,1,2,2
4,2,2,2,E,1.83,70.31,1,1,1,2,2
5,2,3,2,E,1.83,72.58,1,1,1,2,2
6,1,4,2,E,1.63,56.7,1,1,1,2,2
3,1,1,2,C,1.63,60.78,1,1,1,2,2
5,2,2,2,,1.8,65.77,1,1,1,2,2
6,2,3,2,B,1.65,56.7,1,1,1,2,2
7,1,4,2,E,1.63,61.24,1,1,1,2,2
4,1,1,2,E,1.7,68.04,1,1,1,2,2
5,2,2,2,E,1.7,58.97,1,1,1,2,2
5,1,3,2,E,,,1,1,1,2,
6,1,4,2,E,1.6,57.61,1,1,1,2,2
4,2,1,2,C,1.68,68.04,1,1,1,2,2
4,1,2,2,E,1.65,54.43,1,1,1,2,1
6,2,3,2,E,1.83,70.31,5,1,1,2,2
7,1,4,2,E,1.57,56.7,1,1,1,2,2
4,2,1,2,E,1.73,48.99,1,1,1,2,2
5,1,2,2,DE,1.68,64.41,1,1,1,2,1
7,2,4,2,E,1.78,71.67,1,1,1,2,2
4,1,2,2,E,1.7,56.7,1,1,1,2,2
6,2,3,2,E,1.75,61.24,1,1,1,2,2
6,1,4,2,E,1.63,62.6,1,1,1,2,2
5,2,2,2,E,1.75,61.69,1,1,1,2,2
7,1,4,2,E,1.65,61.24,1,1,1,2,2
5,1,2,2,E,1.57,47.63,1,1,1,2,2
7,2,4,2,E,1.85,64.41,1,1,1,2,1
3,1,1,2,E,1.63,58.06,1,1,1,2,2
4,1,2,2,E,1.6,56.7,1,1,1,2,2
5,2,3,2,E,1.73,77.11,1,1,1,2,2
7,1,4,2,E,1.6,49.9,1,1,1,2,2
7,1,4,2,E,1.55,58.97,1,1,1,2,2
4,2,2,2,E,1.68,57.61,1,1,1,2,2
7,2,4,2,E,1.9,65.77,1,2,1,2,2
4,1,2,2,E,1.57,54.43,1,1,1,2,1
7,2,4,2,B,1.75,58.97,1,1,1,2,2
7,1,4,2,E,1.63,58.51,1,1,1,2,2
4,1,1,2,E,1.57,63.5,1,1,1,2,1
5,2,2,2,E,1.68,62.6,1,1,1,2,2
6,2,3,2,E,1.7,56.7,1,1,1,2,2
7,1,4,2,E,1.55,62.6,1,1,1,2,2
6,1,4,1,E,1.55,58.97,1,1,1,1,2
3,2,1,2,E,1.7,59.42,5,5,1,1,2
4,2,1,2,B  E,1.8,86.18,1,1,1,2,1
3,2,1,2,E,1.78,58.97,1,1,1,2,1
4,1,1,2,E,1.68,90.72,1,1,1,2,2
4,1,1,2,E,1.57,47.63,1,1,1,2,2
7,1,4,2,E,1.73,61.24,1,1,1,2,2
7,2,4,2,E,1.85,72.58,1,1,1,2,2
5,2,2,,E,1.7,71.22,1,1,1,2,1
4,2,1,1,A  DE,1.73,85.73,1,1,8,2,2
4,2,2,2,E,1.83,92.99,2,1,1,2,2
7,1,4,2,E,1.6,81.65,1,1,1,2,2
6,1,4,2,E,1.7,65.77,1,1,1,1,1
4,2,1,1,A CDE,1.85,66.68,1,1,1,2,1
4,1,2,2,E,1.65,68.04,1,1,1,2,2
7,1,4,2,E,1.55,48.54,1,1,1,2,1
7,1,4,2,E,1.57,52.16,1,1,4,1,2
3,1,1,2,E,1.7,108.86,1,1,1,1,1
5,1,1,2,E,1.68,77.11,1,1,1,2,1
7,2,4,2,A   E,1.8,74.84,1,1,1,2,2
4,1,1,2,E,1.7,73.94,1,1,1,1,1
4,1,1,2,E,1.68,54.89,1,1,1,2,2
6,1,4,2,E,1.7,61.24,1,1,1,2,2
7,2,4,2,E,1.88,122.47,1,1,1,1,2
3,1,1,2,E,1.7,51.26,1,1,1,2,2
4,1,1,2,E,1.6,86.18,1,1,1,2,2
4,1,1,2,E,,,1,1,1,2,2
6,1,2,1,,1.57,48.54,1,1,1,2,1
6,2,4,2,E,1.93,145.15,1,1,2,2,2
6,2,4,2,E,1.83,110.22,1,1,1,2,2
4,2,1,2,E,1.7,61.24,1,1,1,2,2
5,1,2,2,E,1.65,63.5,1,1,1,2,1
7,2,4,2,E,1.9,90.72,1,1,1,2,2
3,2,1,2,E,1.78,113.4,1,1,1,1,2
4,,1,2,E,,,1,1,,1,2
5,1,1,2,A,,,1,1,1,2,1
4,1,1,2,E,1.78,101.61,1,1,1,2,2
5,2,1,2,E,1.78,138.35,1,1,1,2,2
4,2,1,2,E,1.68,55.79,1,1,1,1,2
4,1,2,2,E,1.57,52.16,1,1,1,2,2
7,2,4,2,E,1.8,86.18,1,1,1,2,2
4,1,1,2,E,1.55,48.99,1,1,1,1,1
4,1,1,2,E,1.57,48.99,1,1,1,2,1
7,1,4,2,B,1.65,65.77,1,1,1,2,2
7,2,4,2,E,1.75,61.24,1,1,1,1,2
4,2,2,2,A   E,1.78,72.58,1,1,1,2,2
3,1,1,2,C,1.83,104.33,1,1,1,2,1
3,1,1,2,DE,1.5,37.65,1,1,1,1,2
3,1,1,1,E,1.63,56.7,1,1,1,2,2
5,1,2,2,E,1.55,45.81,1,1,1,2,2
7,2,4,2,E,1.73,63.5,1,1,1,2,2
6,1,4,2,E,1.6,50.8,1,1,1,2,2
4,2,1,2,A,1.83,109.77,1,1,1,2,2
4,2,,2,E,1.75,92.99,1,1,1,2,2
4,2,1,2,E,1.85,77.57,1,1,1,2,2
4,2,2,2,C,1.93,77.11,1,1,1,1,2
7,2,4,2,E,1.78,86.18,1,1,1,2,2
7,2,4,2,E,1.73,56.7,1,1,1,2,2
4,1,1,2,E,,,1,1,1,2,2
3,1,1,2,E,1.7,113.4,1,1,3,1,1
7,1,4,2,E,1.6,72.58,1,1,1,2,1
7,2,4,2,E,1.96,124.74,1,1,1,1,1
4,1,1,2,C E,1.52,47.63,1,1,1,1,1
7,2,4,2,E,1.85,70.31,1,1,1,2,
4,2,1,2,E,,,1,1,1,2,2
4,1,1,2,E,1.65,68.04,1,1,1,2,2
5,2,2,2,E,1.93,79.38,1,1,1,2,2
7,2,4,2,E,1.83,74.84,1,1,1,2,1
6,2,4,2,B,1.7,72.58,1,1,1,2,2
5,1,1,1,,,,1,1,1,1,2
4,1,1,2,C,1.5,42.18,1,1,1,2,2
4,2,2,1,,1.57,49.9,1,1,1,2,2
7,2,4,2,E,,,1,1,1,1,1
4,2,1,,E,1.83,81.65,1,1,1,2,2
4,1,1,2,E,1.65,52.62,1,1,2,1,1
5,1,2,2,E,1.7,61.24,1,1,1,2,1
6,2,3,2,E,1.73,61.24,1,1,1,2,2
6,1,3,1,E,1.68,64.86,1,1,1,2,2
5,1,2,2,E,1.65,104.33,1,1,2,2,1
5,2,2,1,DE,1.88,95.26,1,1,7,1,2
5,1,3,2,E,1.63,86.18,1,1,1,2,2
4,1,2,2,E,1.57,44,1,1,1,2,2
5,1,2,2,E,1.6,54.43,1,1,1,2,2
7,2,4,1,E,1.9,83.92,1,1,1,2,2
7,2,4,2,C,1.88,81.65,1,1,1,2,2
4,2,2,2,E,1.8,113.4,1,1,3,1,1
5,1,2,1,E,1.7,76.66,1,1,1,2,1
5,2,3,2,E,1.83,95.26,1,1,1,1,1
5,1,2,2,E,1.68,121.11,1,1,3,2,1
4,1,2,2,E,,,1,1,1,1,1
6,2,3,2,E,1.8,83.92,3,1,1,2,2
6,2,3,2,A,1.63,49.9,1,1,3,1,2
5,2,2,2,E,1.7,54.89,1,1,1,2,1
6,2,2,2,E,1.9,88.45,1,1,1,2,2
4,2,2,1,A   E,1.83,65.77,1,1,1,1,1
6,1,3,2,E,1.73,59.88,1,1,1,1,1
6,2,3,2,E,1.8,72.58,1,1,1,1,2
5,1,2,2,E,1.55,52.16,1,1,1,1,2
4,1,2,2,E,1.57,48.54,1,1,1,2,2
6,2,3,2,A   E,1.96,63.96,1,1,1,1,1
5,1,3,2,A,1.6,77.57,1,1,1,2,2
5,1,3,2,E,,,2,1,1,2,1
5,2,3,1,A,,,1,1,1,2,2
6,2,2,2,C,1.68,65.77,1,1,1,2,1
5,2,3,2,E,1.96,79.83,1,1,1,2,2
4,1,2,2,E,1.7,45.81,1,1,1,2,1
5,2,3,2,E,1.75,96.62,1,1,1,2,2
7,1,3,2,E,1.55,65.32,1,1,1,2,1
4,2,2,2,E,1.8,83.46,1,1,1,2,2
5,2,2,2,E,1.83,73.94,1,1,1,2,2
6,1,3,2,E,1.57,58.97,1,1,1,2,2
6,2,4,2,E,1.73,74.84,1,1,1,2,2
5,2,2,2,DE,1.73,61.24,1,1,1,1,1
5,1,2,2,E,1.65,81.65,1,1,1,2,2
5,1,3,2,E,1.6,48.08,1,1,1,2,1
6,2,3,2,E,1.78,58.97,1,1,1,2,2
4,1,2,2,E,1.65,58.97,1,1,1,2,2
5,2,2,1,,1.73,90.72,1,1,2,2,1
6,1,3,1,E,1.68,68.04,1,1,1,2,2
6,1,4,2,E,1.57,57.61,1,1,1,2,2
4,2,2,2,A,1.83,79.83,1,1,1,2,2
5,1,2,2,E,1.57,54.43,1,1,1,2,2
6,1,3,2,E,1.65,102.06,1,1,1,2,2
6,2,3,2,E,1.68,106.6,1,1,1,1,1
4,1,2,2,E,1.57,49.44,1,1,1,2,1
3,1,1,1,E,1.6,68.04,1,1,1,2,2
4,1,2,2,E,1.57,77.11,1,1,1,1,2
6,2,3,2,E,1.85,78.47,1,1,1,2,2
7,2,4,2,E,1.8,73.94,1,1,1,2,2
5,1,3,2,E,,,1,1,1,2,2
5,1,2,2,E,1.68,68.04,1,1,1,1,2
6,2,3,2,E,1.75,97.98,1,1,1,2,2
4,2,2,1,E,1.8,73.94,1,1,1,2,2
5,1,2,2,E,1.68,63.5,1,1,1,2,2
6,2,4,2,E,1.83,81.65,1,1,1,2,2
7,1,4,2,E,1.73,97.52,1,1,1,2,2
7,2,4,1,E,1.83,79.83,1,1,1,2,2
7,1,4,2,E,1.57,56.7,1,1,1,2,2
7,2,4,2,E,1.83,61.69,1,1,1,2,2
7,2,4,2,E,1.85,74.84,1,1,1,2,2
4,2,2,1,D,1.63,53.98,1,1,1,2,2
6,2,3,2,E,1.7,82.56,1,1,1,2,2
6,2,3,2,E,1.83,70.31,1,1,1,2,2
4,2,2,2,E,,,5,5,8,1,1
4,2,2,2,E,1.7,58.06,1,1,1,2,2
6,1,3,2,E,1.65,76.2,1,1,1,2,2
6,2,4,2,E,1.78,74.84,1,1,1,2,2
5,1,2,2,E,,,1,1,1,2,2
4,2,2,2,E,1.83,68.04,1,1,1,2,2
4,1,2,2,E,1.57,58.97,1,1,1,2,2
5,1,3,1,E,1.63,53.98,1,1,1,1,2
5,1,2,2,E,1.65,77.11,1,1,1,2,2
4,1,2,2,B  E,1.65,56.7,1,1,1,2,2
5,2,2,2,E,1.8,72.58,1,1,1,2,1
6,2,3,2,B  E,1.83,63.5,1,1,1,2,2
4,2,2,2,E,1.83,73.94,1,1,1,2,2
3,1,1,2,E,1.57,45.81,1,1,1,2,2
7,1,4,2,E,1.68,94.35,1,1,1,2,2
7,1,4,2,E,,,1,1,1,2,2
4,1,1,2,E,1.63,44,1,1,1,2,2
5,1,2,2,E,1.6,44.91,1,1,1,2,2
5,1,2,2,E,1.68,61.24,1,1,1,2,2
5,1,2,2,E,,,1,1,1,2,2
5,1,2,2,E,1.75,61.24,1,1,1,2,2
4,1,1,2,C E,1.57,55.79,1,1,1,2,2
5,1,3,2,E,1.6,72.58,1,1,1,2,1
3,2,1,2,E,1.78,70.31,1,1,1,2,2
4,2,1,2,E,1.73,88,1,1,1,2,2
7,1,4,2,E,1.7,58.97,1,1,1,2,1
7,1,4,2,E,1.75,65.77,1,1,1,2,2
7,2,4,2,E,1.78,124.74,1,1,1,2,2
4,1,2,2,E,1.6,52.62,1,1,1,2,2
5,1,2,2,E,1.63,47.63,1,1,1,2,2
3,1,1,2,E,1.63,61.24,1,1,1,2,2
4,2,2,2,E,1.83,68.04,1,1,1,2,2
6,1,4,2,E,1.65,68.04,1,1,1,2,2
5,1,2,2,E,1.63,93.44,1,1,1,2,2
4,1,2,1,E,1.7,70.31,1,1,1,2,2
7,2,4,2,E,1.83,64.86,1,1,1,2,2
4,1,1,2,E,1.63,54.43,1,1,1,2,1
7,1,4,2,E,1.63,63.5,1,1,1,2,2
4,1,2,2,E,1.63,49.9,1,1,1,2,2
6,2,3,1,E,1.78,65.77,1,1,1,2,2
5,2,3,2,E,1.88,79.38,1,1,1,2,2
4,2,2,2,A   E,1.75,83.92,1,1,1,2,2
6,2,3,2,E,1.83,88.45,1,1,1,2,2
3,2,1,2,E,1.7,63.5,1,1,1,2,2
4,2,2,2,E,1.68,55.34,1,1,1,1,2
5,2,3,1,D,1.68,68.95,1,1,1,2,2
6,2,3,2,E,1.8,95.26,1,1,1,2,2
4,2,1,2,A   E,1.75,68.04,1,1,2,2,1
3,1,1,2,E,1.63,56.7,1,1,1,2,2
4,1,1,2,E,1.65,64.41,1,1,1,1,1
3,1,1,2,E,1.73,67.59,1,1,1,2,2
5,1,3,2,E,1.78,58.97,1,1,1,2,2
4,1,1,2,E,1.6,47.63,1,1,1,2,2
6,1,3,2,E,1.73,58.97,1,1,1,2,2
4,1,2,2,E,1.6,49.9,1,1,1,2,2
6,2,4,2,E,1.9,72.58,1,1,1,2,2
5,1,2,2,E,1.63,46.27,1,1,1,2,2
6,2,4,2,A   E,1.75,63.5,1,1,1,1,2
5,1,3,2,E,1.57,55.79,1,1,1,2,1
5,1,2,2,E,1.65,63.5,1,1,1,2,2
