q1,q2,q3,q4,q5,q6,q7,q12,q13,q15,q18,q24
4,1,1,2,C,1.6,66.23,1,1,1,2,1
4,1,2,2,A C E,1.68,62.14,1,1,3,1,1
6,2,3,2,E,1.9,83.92,1,1,1,1,2
5,2,3,2,E,1.85,89.81,1,1,1,2,2
5,2,2,2,C,1.75,97.52,1,1,1,2,1
3,1,1,2,E,1.5,54.43,1,1,1,2,2
4,1,1,2,C,1.65,72.58,1,1,1,2,1
4,2,1,2,E,1.78,54.89,1,1,1,1,1
6,1,2,2,C,1.57,63.5,1,1,1,2,2
4,2,1,2,C,1.85,77.11,1,1,2,1,2
4,1,1,2,E,1.63,62.6,1,1,1,1,1
4,1,2,2,E,1.63,68.04,1,1,1,2,2
5,1,1,2,E,1.7,83.92,1,1,1,2,2
4,1,1,2,A C E,1.65,88.91,1,1,2,2,1
6,1,2,2,C,1.52,78.93,1,1,1,2,1
4,2,1,2,C,1.78,49.9,1,1,1,1,2
4,1,1,2,E,1.68,54.89,1,1,1,2,2
7,2,2,2,C,1.88,90.72,1,1,1,2,2
7,2,3,2,E,1.93,97.52,1,1,1,2,2
5,1,3,2,E,1.57,71.22,1,1,1,2,1
4,1,2,2,C,1.68,66.23,1,1,1,2,2
5,2,2,2,E,1.85,64.86,1,1,1,2,2
6,2,3,2,E,1.75,68.04,1,1,1,2,2
6,1,3,2,E,1.55,68.04,1,1,1,2,2
6,2,2,2,C,1.85,70.31,1,1,1,2,2
7,2,4,2,E,1.9,77.11,1,1,1,2,2
6,1,3,2,E,1.6,48.54,1,1,1,1,1
6,2,3,2,C,,,1,1,1,2,2
5,2,2,2,C,1.88,83.92,1,3,1,2,2
6,2,4,2,E,1.83,99.79,1,1,1,2,2
5,1,3,2,E,,,1,1,,2,1
6,2,3,2,C,1.85,104.33,1,1,1,2,2
5,2,2,2,C,1.7,68.04,,1,,2,1
6,2,3,1,,1.93,68.04,1,5,1,1,1
6,2,3,2,E,1.85,56.7,1,1,3,1,2
5,2,2,2,C,1.73,60.33,1,1,1,2,2
6,2,4,1,C,1.8,68.04,1,1,1,2,2
6,1,3,2,E,1.65,54.43,1,1,1,2,2
6,2,3,2,A C,1.83,97.07,1,1,1,1,2
4,2,2,2,E,1.8,68.04,1,1,1,,2
6,1,3,2,E,1.6,56.7,1,1,1,2,2
6,2,3,2,C,1.93,111.13,1,1,1,2,2
6,2,3,2,E,1.88,99.79,1,1,1,2,1
5,1,2,2,E,1.5,40.82,1,1,1,2,2
5,2,3,2,E,1.8,61.24,5,5,1,2,1
7,1,3,2,C,1.68,97.98,1,1,1,2,2
6,1,3,1,,1.5,33.11,1,1,3,1,1
4,2,1,2,C E,1.78,75.3,1,1,1,2,1
6,2,3,2,C,1.78,64.86,1,1,1,2,2
6,1,3,2,C,1.57,86.18,1,1,1,2,2
4,1,2,2,CD,1.57,60.78,1,1,1,2,2
3,1,1,2,C,1.65,82.56,1,1,2,2,1
4,1,1,2,C,1.6,70.76,1,1,1,2,1
6,1,3,2,C,1.7,131.54,1,1,1,1,1
6,2,3,2,C,1.88,70.76,1,1,1,1,2
6,1,2,2,C,1.7,127.01,1,1,1,2,2
3,2,1,2,C,1.78,107.96,1,,1,2,2
6,2,2,2,C,1.73,63.5,5,5,3,2,2
4,1,2,2,C,,,1,1,1,1,1
4,2,1,2,E,1.93,73.03,1,1,1,2,2
,2,,2,C,,,1,,,2,2
7,2,3,2,C,1.83,75.3,1,1,1,2,2
4,1,2,2,C,1.7,79.83,1,1,1,2,1
4,1,1,2,C,1.6,104.33,1,1,1,2,1
6,1,3,2,C,1.6,68.95,1,1,1,2,2
6,1,3,2,C,1.5,66.23,1,1,2,2,2
6,2,3,2,A C,1.7,88.45,1,5,1,1,2
5,1,1,2,C,,,1,1,1,2,2
4,1,1,2,C,1.68,53.52,1,1,1,2,2
5,1,2,2,C,,,2,1,1,1,1
6,2,3,2,C,1.8,63.5,1,1,1,2,1
4,2,1,2,C,1.83,88.91,1,1,1,2,2
6,2,3,1,,1.93,90.27,1,1,1,2,2
6,2,3,2,C,1.78,77.11,1,1,1,1,2
5,1,2,2,C,1.6,56.7,1,1,1,2,2
4,1,1,2,C,1.5,50.35,1,1,1,2,2
6,1,3,2,A C,1.68,58.97,1,1,1,2,1
6,1,3,2,C,1.45,54.43,1,1,1,2,2
5,1,2,2,C,1.63,47.17,1,1,1,2,2
5,2,2,2,C,1.68,64.41,1,1,3,2,1
5,2,3,2,C,1.83,92.99,1,1,1,2,2
5,1,2,2,C,1.5,52.62,1,1,1,2,2
4,1,1,2,C,1.75,61.24,1,1,1,2,2
5,2,2,2,C,1.85,172.37,1,1,1,1,1
6,2,3,1,C,1.83,55.79,1,1,1,1,2
4,1,2,2,C,1.6,70.76,1,1,1,2,2
6,1,3,2,C,,,1,1,1,2,2
3,1,1,2,C,1.6,76.2,1,1,1,1,2
5,1,2,2,C,1.68,68.04,1,1,1,2,2
4,1,1,2,C,1.55,52.16,1,1,1,2,2
5,2,2,2,C,1.68,97.52,1,1,1,1,2
3,1,1,2,C,1.57,79.38,1,1,1,1,1
6,2,3,2,C,1.73,84.37,1,1,1,2,2
5,1,2,2,C,1.63,77.11,1,1,1,2,2
3,1,1,2,E,1.73,50.8,1,1,1,2,2
5,1,2,1,E,,,1,1,1,2,2
5,2,3,2,C,1.73,68.04,1,1,1,2,2
4,2,1,2,E,1.75,111.13,1,1,1,2,2
5,2,2,2,C,1.85,102.06,1,1,1,2,2
4,2,1,2,C,1.73,59.88,1,1,1,2,2
5,2,3,2,C,1.7,68.49,1,1,1,1,2
6,1,3,2,C,1.6,86.18,1,1,1,2,2
6,2,2,,C,,,1,1,1,2,2
4,1,1,2,C,1.55,58.97,1,1,1,2,2
6,2,3,2,C,1.75,56.7,1,1,1,2,2
6,1,3,2,C,1.63,86.18,1,1,1,2,2
5,2,2,2,C,1.85,86.64,3,3,5,1,2
4,1,1,2,C,1.68,58.97,1,1,1,1,2
7,1,3,2,C,1.65,117.94,1,1,1,2,2
5,2,3,2,C,1.8,73.94,1,1,1,2,2
5,2,2,2,CD,1.75,77.11,1,1,1,1,2
5,2,1,2,C,,,1,1,2,1,1
4,2,1,2,C,1.75,70.31,1,1,1,2,2
6,2,3,2,C,1.85,102.97,1,1,1,2,2
5,2,3,2,C E,1.78,61.24,1,1,1,2,2
4,2,2,1,B,,,1,1,1,2,2
3,2,1,2,C,1.73,63.5,1,1,1,1,2
7,2,4,2,C,1.8,68.04,1,1,1,2,2
4,2,2,2,A C,1.8,68.04,1,1,1,2,2
6,1,3,2,C,,,1,1,1,2,2
5,1,2,2,C,1.57,88.45,1,1,1,2,2
5,2,1,2,C,,,1,1,8,2,
5,2,2,2,C,1.85,87.09,1,1,1,2,2
4,1,1,2,C,1.65,98.88,1,1,1,2,2
4,1,1,2,C,1.7,56.7,1,1,1,2,2
6,1,3,2,C,1.57,82.56,1,1,1,2,2
6,2,3,2,C,1.65,59.42,1,1,1,2,2
5,2,2,2,C,1.75,73.03,1,1,1,2,2
4,1,1,2,C,1.63,58.97,1,1,1,1,1
4,2,1,2,C,1.78,111.13,1,1,1,2,2
6,1,3,2,C,1.63,107.05,1,1,1,2,2
6,2,3,2,C,1.93,72.58,1,1,1,,
5,2,2,2,C,1.83,58.97,1,3,1,1,2
4,2,1,2,C,1.7,54.43,1,1,1,2,2
4,2,1,2,E,1.65,61.24,1,1,1,2,1
5,2,2,2,C,1.9,86.18,1,1,1,2,2
7,2,3,2,C,1.7,114.31,1,1,1,2,2
5,1,2,2,C,1.65,61.24,1,1,1,1,2
4,2,1,2,C,1.85,71.22,1,1,1,2,2
6,1,3,2,A   E,1.55,72.12,1,1,3,1,2
5,1,2,2,C,1.57,54.89,1,1,1,2,2
4,2,1,2,C,1.75,63.5,1,1,7,2,1
4,2,1,2,E,1.73,63.5,1,1,1,2,2
4,2,1,2,C,1.65,49.9,1,1,1,2,2
4,1,1,2,C,1.75,92.53,1,1,1,2,1
4,1,1,2,C,1.63,52.16,1,1,1,1,2
3,1,1,2,C,1.68,85.28,1,1,3,2,1
5,1,2,1,E,1.52,58.06,1,1,1,2,2
3,1,1,2,C,1.52,61.24,1,1,1,2,2
3,1,1,2,C,1.52,68.04,1,1,1,2,2
3,2,1,2,C,1.75,68.04,1,1,1,2,2
4,1,2,2,B,1.57,48.54,1,1,1,2,2
4,2,1,2,C,1.75,62.14,1,1,1,2,2
4,1,1,2,C,1.65,53.98,1,1,1,2,2
3,2,1,2,C,1.78,85.73,1,1,1,2,1
4,2,1,2,E,1.75,61.24,1,1,1,2,2
3,2,1,2,C,1.78,61.24,1,1,1,2,2
4,2,1,2,E,1.85,69.4,1,1,1,2,2
4,2,1,2,E,1.68,56.7,1,1,1,1,1
4,1,1,2,C,1.7,54.43,1,1,1,1,2
6,1,3,2,C,1.55,55.34,1,,1,2,
4,2,1,2,C,1.83,60.78,1,4,2,1,2
5,2,2,2,C,1.96,147.42,1,1,1,2,2
5,1,3,2,C,1.7,58.97,1,1,1,1,2
4,1,2,2,A,1.65,56.7,1,1,1,2,2
5,2,2,2,A,,,1,1,1,2,2
5,2,2,2,A,,,1,1,1,2,2
4,1,2,2,A,1.68,54.43,1,1,1,2,1
4,2,2,2,A,1.75,90.72,1,1,1,2,2
5,2,2,,A,,,1,1,1,2,
6,2,2,2,A,1.75,88.91,1,1,1,1,2
5,2,2,2,A,1.68,61.24,1,1,1,2,2
5,2,2,2,A,1.57,54.43,1,2,1,2,2
5,1,2,2,A,1.63,49.9,1,2,1,1,1
4,1,2,2,A,1.6,50.8,1,1,3,2,2
6,1,2,2,,,,1,1,1,2,2
6,1,2,2,A,1.55,58.97,1,1,1,2,2
4,2,2,2,A,1.9,65.77,1,1,1,2,1
5,2,2,2,A,1.75,106.6,1,1,1,2,2
4,1,2,2,A,1.65,61.24,1,1,1,2,2
5,1,2,2,A,1.78,81.65,1,1,1,2,2
5,2,2,2,A,,,1,1,1,2,2
4,2,2,2,,,,1,1,1,2,2
6,2,2,2,A,1.68,81.65,1,1,1,2,2
,2,2,2,A,,,1,1,1,1,2
6,1,2,2,D,,,1,1,1,2,2
3,2,1,2,A,1.65,63.5,1,1,2,2,2
5,1,2,2,A,1.55,52.16,1,1,1,2,2
7,1,4,2,A,1.6,81.65,1,1,1,2,2
7,2,4,2,A,,,1,1,1,2,
4,1,1,2,A,1.57,68.04,1,1,1,2,1
4,1,1,2,A,1.68,58.97,1,1,1,2,2
4,1,2,2,A,1.57,51.71,1,1,1,2,2
7,2,4,2,A,1.88,131.54,3,5,1,2,2
7,2,4,1,A   E,1.73,67.13,1,1,1,2,2
4,2,1,2,A,1.78,84.37,1,1,1,1,2
3,2,1,2,A,1.78,89.36,1,3,1,2,2
5,1,2,2,A,1.45,55.79,1,1,1,2,1
