q1,q2,q3,q6,q7,q66,q80,q84
6,2,3,1.78,64.86,1,3,3
6,1,3,1.57,86.18,4,6,2
4,1,2,1.57,60.78,3,4,3
3,1,1,1.65,82.56,3,4,3
4,1,1,1.6,70.76,3,8,3
6,1,3,1.7,131.54,5,8,4
6,2,3,1.88,70.76,2,8,1
6,1,2,1.7,127.01,4,6,4
3,2,1,1.78,107.96,,,
6,2,2,1.73,63.5,3,8,5
4,1,2,,,5,8,4
4,2,1,1.93,73.03,2,8,2
,2,,,,,1,2
7,2,3,1.83,75.3,2,1,1
4,1,2,1.7,79.83,4,6,2
4,1,1,1.6,104.33,5,8,4
6,1,3,1.6,68.95,3,8,3
6,1,3,1.5,66.23,4,8,3
6,2,3,1.7,88.45,3,8,1
5,1,1,,,3,8,1
4,1,1,1.68,53.52,2,6,2
5,1,2,,,5,8,3
6,2,3,1.8,63.5,3,6,1
4,2,1,1.83,88.91,3,6,2
6,2,3,1.93,90.27,4,6,1
6,2,3,1.78,77.11,2,8,4
5,1,2,1.6,56.7,3,6,4
4,1,1,1.5,50.35,2,7,1
6,1,3,1.68,58.97,2,5,5
6,1,3,1.45,54.43,3,8,5
5,1,2,1.63,47.17,2,8,4
5,2,2,1.68,64.41,3,6,3
5,2,3,1.83,92.99,3,,1
5,1,2,1.5,52.62,3,8,1
4,1,1,1.75,61.24,3,8,1
5,2,2,1.85,172.37,5,8,3
6,2,3,1.83,55.79,4,6,2
4,1,2,1.6,70.76,3,2,4
6,1,3,,,3,4,1
3,1,1,1.6,76.2,4,8,4
5,1,2,1.68,68.04,2,3,1
4,1,1,1.55,52.16,3,6,4
5,2,2,1.68,97.52,4,8,2
3,1,1,1.57,79.38,5,8,4
6,2,3,1.73,84.37,4,1,3
5,1,2,1.63,77.11,4,8,3
3,1,1,1.73,50.8,3,6,3
5,1,2,,,,,
5,2,3,1.73,68.04,3,8,4
4,2,1,1.75,111.13,3,8,1
5,2,2,1.85,102.06,4,6,4
4,2,1,1.73,59.88,3,8,2
5,2,3,1.7,68.49,4,4,2
6,1,3,1.6,86.18,,,
6,2,2,,,1,1,
4,1,1,1.55,58.97,3,6,3
6,2,3,1.75,56.7,2,6,4
6,1,3,1.63,86.18,5,6,5
5,2,2,1.85,86.64,3,5,3
4,1,1,1.68,58.97,3,8,3
7,1,3,1.65,117.94,4,6,3
5,2,3,1.8,73.94,3,2,3
5,2,2,1.75,77.11,3,6,3
5,2,1,,,3,8,4
4,2,1,1.75,70.31,3,1,1
6,2,3,1.85,102.97,3,1,2
5,2,3,1.78,61.24,2,6,2
4,2,2,,,3,,
3,2,1,1.73,63.5,3,6,3
7,2,4,1.8,68.04,4,8,3
4,2,2,1.8,68.04,3,8,1
6,1,3,,,3,8,4
5,1,2,1.57,88.45,3,8,1
5,2,1,,,2,2,3
5,2,2,1.85,87.09,3,6,1
4,1,1,1.65,98.88,4,6,5
4,1,1,1.7,56.7,3,8,2
6,1,3,1.57,82.56,4,8,3
6,2,3,1.65,59.42,2,1,5
5,2,2,1.75,73.03,3,8,1
4,1,1,1.63,58.97,3,8,5
4,2,1,1.78,111.13,,8,2
6,1,3,1.63,107.05,3,1,4
6,2,3,1.93,72.58,3,2,1
5,2,2,1.83,58.97,3,8,1
4,2,1,1.7,54.43,4,8,1
4,2,1,1.65,61.24,3,6,2
5,2,2,1.9,86.18,1,1,1
7,2,3,1.7,114.31,3,6,3
5,1,2,1.65,61.24,3,6,4
4,2,1,1.85,71.22,3,8,1
6,1,3,1.55,72.12,4,6,5
5,1,2,1.57,54.89,3,8,4
4,2,1,1.75,63.5,3,8,
4,2,1,1.73,63.5,3,6,5
4,2,1,1.65,49.9,2,2,1
4,1,1,1.75,92.53,4,8,1
4,1,1,1.63,52.16,1,6,4
3,1,1,1.68,85.28,4,8,3
5,1,2,1.52,58.06,3,6,1
3,1,1,1.52,61.24,3,6,2
3,1,1,1.52,68.04,4,6,4
3,2,1,1.75,68.04,3,8,1
4,1,2,1.57,48.54,3,2,1
4,2,1,1.75,62.14,3,8,3
4,1,1,1.65,53.98,3,6,3
3,2,1,1.78,85.73,5,3,3
4,2,1,1.75,61.24,3,5,1
3,2,1,1.78,61.24,2,8,3
4,2,1,1.85,69.4,3,6,3
4,2,1,1.68,56.7,2,8,3
4,1,1,1.7,54.43,3,8,1
6,1,3,1.55,55.34,2,8,
4,2,1,1.83,60.78,3,7,2
5,2,2,1.96,147.42,3,8,2
5,1,3,1.7,58.97,1,7,2
4,1,2,1.65,56.7,3,6,2
5,2,2,,,4,6,3
5,2,2,,,3,6,2
4,1,2,1.68,54.43,2,1,5
4,2,2,1.75,90.72,4,6,1
5,2,2,,,4,1,2
6,2,2,1.75,88.91,3,6,3
5,2,2,1.68,61.24,2,8,4
5,2,2,1.57,54.43,4,1,4
5,1,2,1.63,49.9,2,8,3
4,1,2,1.6,50.8,3,8,3
6,1,2,,,3,5,
6,1,2,1.55,58.97,3,3,1
4,2,2,1.9,65.77,2,4,2
5,2,2,1.75,106.6,4,5,4
4,1,2,1.65,61.24,3,6,2
5,1,2,1.78,81.65,3,1,1
5,2,2,,,2,8,3
4,2,2,,,,,
6,2,2,1.68,81.65,4,8,3
,2,2,,,,,
6,1,2,,,2,3,3
3,2,1,1.65,63.5,3,6,1
5,1,2,1.55,52.16,5,5,3
7,1,4,1.6,81.65,4,5,4
7,2,4,,,4,4,
4,1,1,1.57,68.04,4,6,2
4,1,1,1.68,58.97,4,6,4
4,1,2,1.57,51.71,3,6,4
7,2,4,1.88,131.54,4,8,2
7,2,4,1.73,67.13,3,8,3
4,2,1,1.78,84.37,3,,
3,2,1,1.78,89.36,4,8,
5,1,2,1.45,55.79,3,8,2
7,1,4,1.57,72.58,4,6,4
5,2,1,,,4,8,4
3,2,1,1.7,63.05,5,8,1
4,2,2,1.75,74.84,4,2,1
6,2,4,1.78,88.45,4,6,3
7,1,4,1.63,58.97,4,6,3
3,1,1,1.63,61.24,4,8,5
4,2,1,1.68,61.24,3,6,5
4,1,2,1.63,72.58,4,6,1
6,1,4,1.57,63.5,3,1,5
7,2,4,1.7,65.77,3,5,1
5,1,1,1.57,104.33,3,6,3
4,1,1,1.63,54.89,3,5,2
6,2,2,1.63,66.68,4,6,1
6,1,4,1.65,54.43,3,6,4
7,1,4,1.68,81.19,4,8,2
3,2,1,1.7,72.58,4,6,
3,1,1,1.7,124.74,4,8,3
4,1,2,1.63,65.77,3,4,1
6,2,3,1.65,59.42,3,7,1
5,2,3,1.52,59.42,3,1,1
7,1,4,1.6,70.31,3,8,4
7,2,4,,,3,,
3,2,1,,,3,2,3
4,2,1,1.65,53.98,2,8,1
6,1,2,1.7,81.65,4,5,4
4,2,1,1.68,52.16,3,8,4
3,2,1,1.73,62.6,3,6,1
6,2,2,1.8,87.09,4,8,3
7,2,4,1.8,113.4,5,6,3
7,1,4,1.6,50.8,3,6,3
3,1,1,1.57,46.27,3,8,3
4,2,1,1.65,82.1,3,6,2
6,1,4,1.57,61.24,3,6,3
7,1,4,1.52,40.82,3,6,2
6,1,4,1.6,97.98,5,6,3
3,2,1,,,3,,
3,1,1,,,3,8,4
6,2,4,1.8,79.38,4,6,3
3,2,1,1.8,92.99,4,,
4,1,1,1.65,68.04,3,4,3
5,2,2,1.85,66.23,3,8,1
7,2,4,1.83,86.18,4,6,3
7,1,4,1.57,83.92,4,4,3
6,2,1,1.73,53.07,3,7,4
3,1,1,,,1,8,3
5,1,2,1.6,49.44,2,6,2
7,1,4,1.63,49.9,2,6,2
4,1,1,,,3,6,4
6,2,2,1.68,49.9,1,8,2
7,2,4,1.83,68.04,3,8,1
6,1,4,1.63,63.05,3,,
5,2,1,,,1,8,3
4,2,1,,,,,
6,1,3,,,4,6,5
6,1,4,1.6,62.6,3,8,2
3,1,1,1.63,67.59,3,8,2
4,2,1,,,3,8,2
6,1,3,1.65,88.91,3,8,1
6,2,4,1.78,108.41,4,5,2
6,1,4,1.6,56.7,3,8,5
3,1,1,1.63,52.16,3,8,4
4,2,1,1.7,54.43,2,6,3
5,2,2,1.68,79.38,3,6,5
6,1,4,1.6,68.04,3,6,4
7,2,4,1.78,61.24,2,8,1
7,2,4,1.83,108.86,3,1,2
