q1,q2,q3,q6,q7,q66,q80,q84
3,2,1,1.75,64.41,3,6,3
6,1,4,1.57,51.71,3,6,3
4,2,2,1.68,45.36,1,8,4
7,2,4,1.7,72.58,3,,
4,2,1,1.78,61.24,2,8,4
6,2,4,1.68,88.45,4,6,2
4,2,2,1.85,90.72,4,7,3
7,2,4,1.78,77.11,,,
4,2,1,1.75,72.58,4,6,1
6,1,3,1.78,58.97,3,4,3
5,2,2,1.83,129.28,5,2,2
6,1,4,1.52,60.78,3,8,2
4,2,1,1.75,65.77,3,6,2
6,1,4,1.52,37.2,1,6,5
5,2,2,1.65,56.7,3,8,2
6,1,4,1.63,59.42,3,4,2
4,2,1,1.75,68.04,3,1,5
6,2,4,1.57,42.18,1,6,3
5,1,2,1.68,77.11,4,8,3
6,1,4,1.63,72.58,4,6,3
4,2,1,1.68,68.04,4,1,1
7,2,4,1.83,113.4,3,8,5
4,2,2,,,2,2,2
3,1,1,1.7,77.57,4,6,4
6,1,4,1.63,77.11,4,8,4
5,2,2,1.8,95.26,5,5,3
7,1,4,1.68,68.04,3,7,4
7,2,4,1.78,63.5,3,8,3
5,1,2,1.57,86.18,4,6,3
6,2,3,1.93,124.74,4,6,3
3,2,1,1.68,47.63,2,8,2
6,2,4,1.85,86.64,3,8,4
4,1,2,1.5,39.92,3,8,3
6,1,4,1.5,47.63,3,4,3
6,2,3,1.98,115.67,3,8,3
4,2,2,1.88,98.43,4,8,1
7,2,4,1.8,63.5,2,1,3
3,1,1,1.6,51.71,3,6,4
7,2,4,1.73,63.5,3,6,3
5,2,2,1.78,83.01,3,2,2
5,1,2,1.68,55.79,3,7,1
7,1,4,1.68,54.43,,6,3
4,2,1,1.73,68.95,4,5,1
6,2,4,1.7,65.32,4,6,1
4,2,2,1.7,59.88,3,2,3
6,1,4,1.7,117.03,5,8,3
3,2,1,1.75,63.5,4,8,2
7,2,4,1.88,80.29,3,6,3
5,2,2,1.73,70.76,4,6,3
7,1,4,1.7,98.43,4,8,4
4,2,1,1.7,64.41,3,6,1
5,1,3,1.65,104.33,5,8,3
4,1,2,1.57,52.62,3,5,3
6,1,4,1.6,76.66,3,8,1
6,1,4,1.63,56.7,3,6,3
5,1,2,1.55,63.5,3,6,1
7,2,4,1.73,78.47,3,5,3
3,2,1,,,,1,3
6,1,3,1.55,45.36,3,6,2
5,2,2,1.7,63.5,3,5,2
7,1,4,1.63,54.43,3,8,4
4,2,1,1.8,54.43,1,6,2
7,1,4,1.52,53.07,3,8,3
5,2,2,1.73,49.44,2,1,3
7,1,4,,,,6,5
3,2,1,1.63,48.54,2,8,1
6,1,4,,,,8,3
5,2,2,1.8,72.58,3,6,3
4,1,1,1.6,49.9,3,8,3
4,1,1,1.7,53.07,1,7,3
4,1,1,1.57,90.27,4,6,3
4,1,2,1.68,56.7,3,8,3
6,1,3,1.75,71.67,2,6,3
4,2,1,,,3,2,2
5,1,2,1.6,79.38,5,5,3
6,1,3,1.55,47.17,3,8,3
4,1,1,1.63,51.71,3,8,2
7,2,4,1.83,132,3,6,1
5,2,1,1.68,68.04,2,8,3
5,1,2,1.55,54.43,3,8,3
5,2,3,1.68,58.97,3,1,1
4,1,1,1.75,68.04,3,6,2
5,1,2,1.63,62.6,3,6,3
6,2,3,1.7,77.11,4,4,3
4,2,1,1.8,71.67,2,6,4
5,1,2,1.65,74.84,4,8,4
4,1,2,1.73,68.04,3,8,5
4,1,1,1.52,63.5,4,7,3
4,2,1,1.75,107.05,4,8,3
6,1,3,1.7,52.16,3,6,3
5,1,3,1.63,48.99,2,8,4
6,1,4,1.55,56.7,3,5,5
4,1,2,1.5,43.09,3,1,1
6,1,3,1.7,53.98,3,6,4
5,2,1,1.65,56.7,3,1,2
5,1,2,1.42,48.99,3,6,3
6,1,3,1.65,91.17,3,8,1
6,2,3,1.73,106.6,5,8,3
4,1,2,1.65,38.56,2,1,1
7,1,3,1.5,53.07,3,6,4
4,2,1,1.75,69.85,2,8,4
5,1,2,1.6,54.43,3,7,5
4,2,2,1.9,72.58,5,1,5
6,2,3,1.93,99.79,3,8,3
6,1,3,1.68,90.72,4,8,1
4,2,1,1.75,58.97,3,6,1
4,2,2,1.7,72.58,4,6,
4,2,1,1.8,70.76,2,6,4
6,2,3,1.8,63.5,3,8,2
4,2,1,1.78,99.79,4,5,2
5,1,2,1.6,57.61,4,3,3
3,2,1,1.83,76.2,3,8,3
6,2,3,1.9,108.86,3,8,
4,2,1,1.68,53.98,3,6,4
4,2,2,1.78,54.43,2,5,4
4,1,2,1.55,81.65,5,6,3
6,2,3,1.7,63.05,2,8,5
4,2,2,1.73,68.04,4,8,2
6,1,3,1.63,44.91,2,6,4
3,1,1,1.68,49.9,2,1,3
4,1,2,1.7,59.88,3,8,4
4,2,1,1.78,56.7,2,8,1
4,2,2,1.9,82.56,3,1,3
5,2,1,1.7,92.99,3,6,2
5,1,2,1.63,104.33,4,7,5
3,1,1,1.68,63.5,4,8,5
4,2,2,1.78,90.27,4,8,3
5,1,3,1.57,40.82,2,6,2
4,1,1,1.57,68.04,3,8,4
6,2,3,1.8,74.84,2,8,1
4,2,1,1.65,65.77,3,8,1
5,1,2,1.55,40.37,2,6,3
5,1,3,1.63,117.94,2,6,1
3,2,1,1.65,49.9,3,8,4
6,2,3,1.98,99.79,3,4,3
5,2,1,1.78,54.43,3,8,1
4,1,2,1.7,68.04,3,7,4
5,2,2,1.83,90.72,4,8,4
3,2,1,,,3,6,3
5,2,2,1.88,81.65,3,6,3
5,1,2,1.6,65.77,4,5,3
6,2,3,1.7,108.86,5,8,5
5,2,1,1.65,104.33,4,8,2
3,1,1,1.6,117.94,2,6,4
4,2,1,1.68,54.43,2,4,1
3,1,1,1.65,68.04,4,6,3
7,1,4,1.6,64.41,3,6,4
5,2,2,1.68,63.5,3,3,2
7,2,3,1.8,78.93,3,6,
3,1,1,1.57,78.02,4,8,3
7,1,4,1.52,70.31,4,6,1
5,2,2,1.73,57.61,2,4,3
7,1,3,1.65,74.84,3,8,3
4,1,1,1.65,48.99,2,6,3
6,2,4,1.75,86.18,4,6,5
6,2,2,1.78,74.39,2,6,4
6,2,3,1.85,66.23,2,8,5
4,1,1,1.55,52.16,3,6,3
7,1,4,1.55,44.45,3,6,4
5,1,2,1.57,49.9,3,4,3
5,2,3,1.73,79.38,4,1,1
4,1,1,1.63,60.33,4,6,3
7,2,4,1.68,49.9,1,6,1
5,2,2,1.68,49.9,2,5,1
5,2,3,1.8,95.26,3,8,1
4,2,1,1.73,88,3,7,5
5,1,3,1.52,55.34,3,8,3
5,2,2,1.75,57.15,4,1,
6,2,3,1.65,58.97,1,6,1
3,2,1,1.68,49.9,3,1,1
6,2,3,1.75,76.2,3,8,1
6,2,4,1.78,61.69,2,8,3
5,1,3,1.57,56.25,4,5,4
4,1,1,1.47,34.02,1,6,3
7,2,4,,,3,1,4
6,1,2,1.6,49.9,2,8,4
5,1,3,1.63,56.7,2,7,2
4,1,1,1.52,40.82,3,6,1
7,1,4,1.7,74.84,,8,3
6,2,3,1.78,70.76,3,4,2
6,1,3,1.5,47.63,2,7,4
3,2,1,1.55,47.63,2,8,1
7,1,4,1.63,61.24,3,8,4
5,1,2,1.5,40.82,3,8,2
6,2,3,1.63,70.31,,,
3,1,1,1.6,58.97,3,6,4
6,2,3,,,,,
4,1,1,1.55,52.16,3,6,3
6,1,4,1.65,71.67,4,8,3
5,2,2,1.83,116.58,4,6,3
5,2,3,1.83,84.37,3,6,3
5,1,1,1.73,77.11,3,7,1
7,1,4,1.7,65.77,3,6,4
4,2,2,1.68,56.7,3,6,
6,1,3,,,2,6,4
4,2,1,1.78,54.43,3,6,1
6,2,4,1.73,65.77,2,8,2
5,2,2,1.78,55.79,2,6,3
5,1,3,1.57,54.43,3,3,4
3,2,1,1.65,68.04,3,6,2
5,1,3,1.7,68.04,3,6,4
6,2,3,1.78,92.08,4,6,3
4,1,1,1.7,54.43,3,4,3
6,1,4,1.73,65.77,2,6,4
5,2,3,1.8,94.8,3,7,1
6,1,3,1.63,83.92,5,8,5
4,2,1,1.96,67.59,3,2,3
6,1,4,1.57,115.67,5,6,4
4,1,2,1.7,64.86,4,6,5
6,2,3,1.78,86.18,3,6,1
5,2,1,1.57,72.58,3,8,1
7,2,4,1.83,61.69,3,8,4
6,1,2,1.63,72.58,3,6,1
6,2,3,1.73,95.26,4,1,1
4,1,1,1.55,43.55,2,5,4
6,2,4,1.88,113.4,5,1,2
5,1,2,1.63,90.72,4,8,3
6,1,3,1.63,67.59,3,8,2
4,2,1,1.8,63.5,3,1,2
6,1,4,1.55,55.79,3,8,2
3,1,1,1.7,52.16,2,8,4
6,1,4,1.57,63.5,3,6,1
3,1,1,1.57,47.63,2,4,3
7,2,4,1.73,95.26,3,6,2
3,1,1,1.55,49.9,3,6,2
4,1,1,1.63,48.99,3,3,4
5,1,3,1.65,77.11,4,8,2
4,2,1,,,3,6,4
4,2,1,1.7,58.97,3,6,5
4,2,1,1.65,61.24,3,7,1
7,2,4,1.9,77.11,3,8,3
4,2,2,1.7,54.43,3,8,4
6,1,3,1.65,55.79,2,8,1
3,2,1,1.83,88.45,3,8,2
6,1,4,1.68,68.95,3,8,1
4,2,2,1.65,99.79,4,6,2
6,1,3,1.63,74.84,4,8,3
6,2,4,1.83,106.6,4,6,2
5,2,2,1.73,78.02,3,6,3
6,1,4,1.63,52.16,2,4,2
6,1,4,1.6,69.85,3,6,3
6,2,4,1.78,54.43,2,8,3
6,1,4,1.65,108.86,4,7,3
7,1,4,1.52,49.9,2,8,3
6,1,4,,,4,4,3
6,2,3,1.68,54.43,2,6,3
7,1,4,,,3,6,4
6,2,4,1.78,68.04,2,8,2
6,1,3,1.65,74.84,3,8,2
6,2,4,,,2,8,3
7,2,4,1.75,81.19,4,7,1
7,1,4,1.65,59.88,1,1,
7,2,4,1.68,61.24,2,8,4
6,2,4,1.78,76.2,4,6,5
5,1,4,,,3,7,1
7,2,4,1.73,58.97,2,5,1
7,2,4,1.83,74.84,3,1,1
6,2,4,1.78,54.43,3,6,1
7,1,4,1.63,78.93,3,6,3
7,1,3,1.57,48.99,2,7,5
4,2,1,1.7,59.88,3,6,1
4,1,2,1.55,58.51,3,6,3
7,2,4,1.88,92.53,3,6,1
5,2,3,1.75,57.61,2,6,4
3,2,1,1.68,52.16,,8,2
5,1,2,1.7,52.16,2,8,5
4,2,2,1.78,68.04,2,6,3
4,1,1,1.68,52.62,2,8,3
5,1,2,1.63,58.97,4,6,4
6,1,4,1.75,68.04,3,8,4
5,1,3,,,4,4,5
4,1,1,1.55,47.63,4,8,3
4,1,2,1.52,46.72,2,8,5
7,2,4,1.8,90.72,3,6,1
5,1,3,1.68,49.9,2,7,3
4,1,1,1.65,58.97,3,6,
4,2,2,,,3,8,1
6,2,4,1.78,58.97,2,4,4
6,2,3,1.96,90.72,,,
3,2,1,1.65,56.7,3,4,3
7,2,4,,,3,1,4
7,2,4,1.83,92.99,3,4,1
4,1,2,,,4,6,3
3,2,1,1.8,90.72,4,6,2
5,2,2,1.7,56.7,3,6,3
5,1,3,1.6,54.43,3,8,3
5,1,2,1.52,47.63,3,6,3
5,1,3,1.57,52.16,2,6,2
5,2,2,1.73,83.01,3,8,3
6,1,4,1.63,53.07,3,6,3
5,1,3,1.52,47.63,3,8,4
3,2,1,1.73,65.77,3,6,1
1,1,1,,,5,,1
6,2,3,1.85,81.65,3,6,5
3,1,1,1.63,68.04,4,8,4
4,1,2,1.5,44,2,6,5
6,1,3,1.68,58.97,3,8,3
4,2,1,1.78,56.7,2,6,3
4,1,2,1.7,79.83,4,3,5
5,1,3,1.5,48.08,3,6,3
6,1,3,1.75,88.45,4,8,3
4,2,1,1.78,73.48,3,6,1
3,1,1,1.57,44,2,8,3
7,2,4,1.65,79.83,4,8,1
5,1,2,1.63,83.01,4,6,4
4,2,2,1.78,61.69,1,8,5
7,1,4,1.63,58.97,3,6,3
5,1,3,1.57,52.62,3,6,4
3,1,1,1.65,48.08,3,6,3
5,2,2,1.8,77.57,3,6,4
5,2,2,1.75,65.32,2,6,5
6,2,3,1.83,80.74,4,8,1
3,2,1,1.75,56.7,2,6,2
5,2,2,1.68,100.7,4,6,1
5,1,3,,,3,6,5
6,2,3,1.88,63.5,3,5,3
3,1,1,1.68,68.04,3,6,3
4,1,2,1.6,53.07,3,7,5
3,1,1,,,3,1,5
5,2,2,1.7,104.33,4,5,2
7,1,4,1.55,47.63,3,6,2
5,2,3,1.83,117.94,3,8,4
3,2,1,1.8,70.31,3,8,3
4,1,2,1.65,60.78,3,8,3
6,1,3,1.7,81.65,5,8,4
4,2,1,1.78,56.7,3,6,2
5,1,3,1.6,58.06,2,8,4
5,1,2,1.63,56.7,3,1,5
4,2,1,1.7,45.36,2,1,1
5,2,2,1.85,52.16,2,8,3
7,1,4,1.65,58.97,4,6,3
7,2,4,1.85,79.83,3,,
6,2,3,1.73,53.07,2,6,4
3,1,1,1.63,58.97,4,6,4
5,1,2,1.6,45.36,2,6,2
7,2,4,1.73,80.29,4,6,3
5,2,3,1.85,86.18,5,8,1
3,1,1,1.65,56.7,4,6,1
4,1,2,1.68,68.04,3,8,2
6,2,4,1.78,74.84,4,1,1
5,2,3,1.88,111.13,1,8,1
4,1,1,1.7,63.5,4,6,2
4,1,2,1.68,74.84,4,6,5
7,2,4,1.83,77.11,,,
6,1,3,1.78,70.31,3,6,4
4,2,1,1.63,45.81,2,6,3
5,1,2,1.65,63.96,4,8,3
6,2,4,1.75,99.79,4,6,3
6,1,3,1.55,68.04,5,6,3
4,1,1,1.65,58.97,4,6,3
7,2,4,1.78,61.24,2,4,1
5,1,3,1.65,66.23,3,6,4
4,1,1,1.63,54.43,3,8,3
5,1,2,1.55,52.16,2,8,4
6,2,4,1.8,62.14,2,6,3
5,1,3,1.57,70.31,4,6,3
3,1,1,1.57,48.99,1,8,5
4,2,2,1.83,70.31,2,6,1
7,2,4,1.9,71.67,3,8,3
6,1,3,1.6,58.97,4,,
4,2,1,1.7,74.84,3,6,1
6,2,3,1.8,117.94,4,8,1
6,2,4,1.78,72.58,3,,2
4,1,1,1.57,68.04,4,6,3
3,2,1,1.73,58.51,3,8,3
5,1,2,1.55,54.43,4,6,2
7,1,4,1.6,47.63,2,8,3
4,1,1,1.57,59.88,3,6,1
4,2,1,1.57,61.24,3,6,5
5,2,2,1.8,83.92,3,6,
7,2,4,1.7,73.48,3,6,3
4,2,1,1.75,80.74,4,6,4
4,2,1,1.75,65.77,3,7,3
4,2,2,1.75,56.7,2,6,1
6,1,4,1.42,61.24,4,6,4
4,1,1,1.52,83.92,4,6,1
3,1,1,1.63,59.88,3,6,4
4,1,2,1.65,54.43,3,6,1
6,2,4,1.93,74.84,2,7,3
4,2,1,1.7,61.24,3,6,3
4,1,1,1.68,58.51,2,8,4
4,1,2,1.5,40.82,3,8,5
6,1,4,1.75,67.59,3,8,3
3,1,1,1.68,49.9,2,8,5
4,1,1,1.5,52.16,3,8,4
5,2,2,1.8,90.72,4,5,4
7,2,4,1.73,47.63,2,1,2
4,1,1,1.52,40.82,2,8,4
4,2,2,1.9,83.46,3,6,2
7,2,4,1.85,74.84,1,,
4,1,1,1.6,74.84,4,2,1
4,1,1,1.8,140.16,5,6,5
5,1,2,1.65,52.16,3,5,2
6,1,4,1.57,47.63,3,8,5
4,2,1,1.75,61.24,3,8,1
5,2,2,1.8,74.84,3,6,1
6,1,4,1.68,92.53,4,8,3
4,2,1,1.7,88.45,5,6,2
4,2,2,1.85,68.04,3,7,2
7,2,4,1.85,72.58,3,6,2
3,1,1,1.65,52.16,3,6,2
4,1,1,1.57,46.72,2,7,5
4,1,2,1.63,61.24,3,8,2
7,1,4,1.6,47.17,3,7,3
3,1,1,1.68,60.33,3,1,1
4,1,1,1.63,43.55,2,7,4
4,1,2,1.65,53.52,3,6,2
6,1,4,1.68,58.06,3,8,3
4,2,,1.5,40.82,1,8,1
3,1,1,1.6,81.65,4,7,5
5,2,2,1.73,76.2,4,6,4
7,2,4,1.8,65.77,2,8,5
,1,1,,,3,6,4
3,1,1,1.6,52.16,3,5,1
4,2,2,1.8,63.5,3,6,1
7,1,4,1.75,63.5,3,6,3
4,2,1,1.75,65.77,3,6,1
3,1,1,1.57,68.95,4,6,3
4,2,2,1.73,61.24,2,8,2
6,1,4,1.6,58.97,3,,
3,1,1,1.63,48.08,2,6,3
4,1,1,1.7,72.58,3,5,3
4,1,2,1.63,50.8,3,6,2
7,2,4,1.83,71.22,3,5,2
4,2,1,1.63,43.09,2,6,2
3,2,1,,,5,8,5
4,1,2,1.57,43.55,2,6,5
6,2,4,1.8,106.14,5,8,3
4,1,1,1.57,48.99,3,8,3
3,2,1,1.73,63.96,,,
4,1,2,1.63,58.97,3,6,1
7,1,4,1.8,88,4,8,4
3,2,1,1.63,65.77,4,6,1
4,2,2,1.73,83.92,4,8,2
7,1,4,,,3,1,1
4,1,1,1.6,43.09,1,8,4
4,1,1,1.68,65.77,2,8,4
5,1,2,,,,8,4
6,1,4,1.57,43.55,3,8,2
4,1,1,,,,6,4
3,2,1,1.78,88.45,4,5,1
5,2,2,1.88,81.65,4,7,2
7,1,4,,,4,6,3
3,1,1,1.57,54.43,3,8,5
4,1,1,1.63,52.16,3,8,3
4,2,2,1.65,56.7,3,6,2
7,2,4,1.83,67.13,3,8,4
4,2,1,1.85,61.24,2,4,2
7,2,4,1.83,72.58,3,6,2
3,1,1,1.5,52.16,3,6,3
4,1,1,1.57,48.54,3,8,5
4,1,2,,,3,5,3
4,2,1,1.83,72.58,4,6,1
6,2,4,1.83,77.11,2,6,1
3,2,1,1.88,77.11,3,6,1
4,2,1,1.78,74.39,4,8,4
6,2,4,1.8,77.11,4,8,4
,1,1,,,3,8,2
4,1,1,1.57,52.16,2,6,3
7,2,4,1.7,63.5,2,8,5
3,1,1,1.6,95.71,4,8,4
4,2,1,1.68,58.97,3,6,4
6,1,4,1.73,99.79,5,6,4
4,2,1,1.68,68.95,3,3,2
4,2,1,1.68,62.14,3,6,3
6,1,4,1.57,74.84,4,8,3
4,2,1,,,3,1,2
4,1,1,1.6,43.55,2,6,3
7,1,4,1.63,56.7,3,4,4
5,2,2,1.75,71.22,4,6,5
5,1,3,1.63,65.77,3,2,3
5,2,3,1.83,132.45,5,2,3
6,1,4,1.52,37.65,2,8,3
4,1,2,1.73,56.7,3,5,4
5,2,2,1.75,65.77,3,6,1
7,1,4,1.63,60.33,3,8,3
6,2,2,1.83,77.11,3,1,2
4,1,2,1.55,66.23,3,6,2
6,2,4,1.9,90.72,3,1,1
7,2,4,1.8,58.97,2,6,3
6,2,3,1.68,68.04,2,6,4
7,2,4,1.68,77.11,3,6,1
4,1,2,1.65,58.97,4,5,4
7,2,3,1.73,79.38,3,2,4
5,1,3,,,2,6,4
7,2,4,1.83,158.76,3,8,5
4,2,2,1.88,111.13,4,6,1
6,2,2,1.85,77.11,3,8,3
6,2,3,1.8,86.18,3,8,1
5,1,3,1.73,54.89,2,8,4
5,1,3,1.57,54.43,3,8,1
7,2,4,1.83,56.7,1,8,3
5,2,2,1.8,83.92,,6,2
6,1,3,1.6,64.86,3,5,2
6,1,4,1.73,102.06,4,6,4
5,1,2,1.73,58.97,3,6,3
6,2,3,1.75,54.43,2,1,5
6,2,3,1.75,68.04,3,8,3
6,1,4,1.7,47.63,2,1,5
5,1,2,1.65,54.43,3,6,3
5,1,3,1.63,56.7,3,8,4
5,2,3,1.75,95.26,4,6,4
7,2,4,1.68,61.24,3,6,3
5,2,2,1.8,131.54,4,7,2
6,1,3,1.6,56.7,3,8,3
5,2,3,1.75,56.7,2,6,2
7,1,4,1.7,68.04,4,6,5
4,2,2,1.85,88.91,3,6,1
7,2,4,1.78,65.77,2,6,2
5,1,2,1.63,90.72,4,6,3
6,1,3,1.57,65.77,5,2,4
6,2,3,1.7,64.86,4,1,4
7,1,4,1.63,90.72,3,6,3
5,2,3,1.68,49.9,1,8,2
6,1,3,1.55,47.63,2,6,3
6,1,4,1.75,65.77,3,6,4
5,2,2,1.85,81.65,3,8,2
5,2,3,1.8,61.24,2,8,3
5,1,2,1.68,104.33,4,6,5
6,2,2,1.75,54.89,2,6,2
6,2,4,1.85,83.46,3,8,1
5,1,2,1.7,52.62,2,8,5
5,1,3,1.78,99.79,5,4,4
5,2,3,1.83,63.5,2,6,3
7,1,4,1.7,61.24,3,8,4
5,2,2,1.83,56.7,2,6,5
6,2,3,1.9,65.77,3,6,2
5,2,3,,,,,
6,1,4,1.68,53.07,3,6,3
5,1,2,1.57,50.35,2,6,3
5,2,3,,,3,1,1
5,2,3,1.78,72.58,3,5,3
7,2,4,1.75,68.04,3,8,1
5,1,2,1.57,56.7,3,6,1
5,2,3,1.78,56.25,3,6,1
5,2,2,1.63,65.77,3,5,3
7,1,4,1.68,58.97,3,7,3
5,2,2,1.73,48.54,2,1,1
6,2,3,1.8,63.5,2,8,3
5,1,3,1.6,54.43,3,8,5
7,2,4,1.73,65.77,3,,
5,2,2,1.68,78.02,3,6,3
5,1,3,1.6,75.75,5,1,5
6,1,3,1.65,52.16,3,6,3
7,2,4,1.7,90.72,5,5,2
4,1,2,1.6,72.58,4,6,2
6,1,3,1.57,72.58,4,6,3
6,2,3,1.93,79.38,2,8,2
6,1,4,1.73,56.7,3,8,5
6,2,3,1.78,58.97,2,6,1
6,2,3,1.8,62.14,3,6,5
6,1,4,1.6,65.77,4,6,2
5,1,2,1.73,65.77,3,8,2
6,1,3,,,4,6,1
7,2,3,1.83,93.44,4,5,2
5,2,3,1.73,70.31,3,6,1
5,2,3,1.7,69.85,3,3,3
6,1,4,1.68,113.4,5,2,3
5,2,2,1.83,70.31,3,5,2
6,1,3,1.63,49.9,2,6,3
6,1,3,,,2,8,4
7,1,4,1.63,68.04,4,8,4
5,1,2,1.57,50.8,3,6,1
5,2,3,1.93,104.33,3,7,3
5,2,3,1.73,80.74,3,8,1
7,2,4,1.73,62.6,3,8,1
5,1,2,1.65,49.9,2,6,3
5,1,3,1.63,49.44,2,5,2
6,1,3,,,2,8,4
7,1,4,1.6,58.97,2,5,3
7,2,4,1.78,68.04,2,7,2
5,1,2,1.52,53.52,2,6,4
6,1,4,1.57,81.65,4,6,5
5,2,2,1.78,68.49,3,7,2
4,2,1,1.7,64.41,3,6,1
6,1,4,1.65,66.23,3,7,1
3,1,1,1.6,68.04,4,8,3
6,2,3,1.75,74.84,3,8,1
6,2,4,1.83,102.06,4,7,1
4,1,2,1.52,68.95,3,5,3
3,1,1,1.75,59.88,3,6,3
6,2,3,1.83,68.04,3,8,2
7,1,4,1.73,56.7,3,6,4
6,2,4,1.88,72.58,2,6,1
4,1,2,1.8,49.9,4,8,5
4,1,1,1.63,68.04,3,8,4
5,2,3,1.83,122.47,4,5,1
4,2,2,1.8,76.2,3,6,1
4,2,1,1.8,71.22,3,8,1
7,2,4,1.73,78.93,,8,1
3,1,1,1.52,48.99,,,
6,1,3,1.55,79.38,4,6,3
6,1,4,1.55,49.9,3,8,4
5,1,2,1.63,54.43,4,8,3
4,2,1,1.83,91.17,3,1,4
7,2,4,1.7,50.8,3,6,3
4,1,2,1.63,70.31,4,7,4
6,1,4,1.6,56.7,3,4,1
4,1,2,1.6,58.97,3,8,5
6,2,3,1.8,64.41,2,5,1
6,1,4,1.68,61.24,3,6,2
4,1,2,1.65,97.52,4,8,3
3,1,1,1.6,61.24,3,8,5
5,1,3,1.73,67.13,3,8,4
4,1,2,1.63,54.43,3,8,4
5,2,1,1.65,66.23,3,1,3
7,2,4,1.65,61.24,3,6,1
5,1,2,1.55,68.04,5,8,5
7,2,4,1.73,86.18,4,8,4
6,2,2,1.75,97.52,4,4,1
7,1,4,1.63,77.11,4,8,4
4,2,2,1.83,86.18,4,5,1
4,1,1,,,4,4,3
5,1,3,1.7,53.52,3,8,3
7,1,4,1.57,72.58,4,6,4
5,1,2,1.52,43.55,3,8,2
3,1,1,1.73,49.9,4,8,3
6,2,3,1.7,56.7,2,6,4
6,2,4,1.88,68.95,2,6,1
4,1,2,1.6,80.29,4,8,5
4,2,2,1.78,63.5,3,8,1
5,1,3,1.55,76.66,4,6,2
5,1,2,1.73,74.84,4,6,4
4,1,1,1.63,65.77,3,1,1
5,1,3,1.65,70.31,4,8,2
7,2,4,1.85,77.11,3,6,2
5,2,2,1.8,102.06,4,6,1
4,1,1,1.68,58.97,3,8,4
6,2,3,1.78,83.01,3,8,4
7,2,4,1.7,69.4,3,1,1
5,1,1,1.57,99.79,4,8,3
3,2,1,1.78,67.13,3,5,1
5,2,3,1.65,70.31,4,3,5
7,2,4,1.63,63.96,3,6,4
5,2,2,1.75,68.04,3,1,2
7,1,4,1.68,52.16,3,1,5
5,1,2,1.57,56.7,2,8,4
7,2,4,1.73,67.13,3,5,1
5,1,2,1.55,68.04,3,8,5
4,1,1,,,3,6,2
6,2,3,1.73,79.38,4,6,2
4,2,1,1.75,40.82,2,1,3
4,2,1,1.85,58.97,2,2,3
3,2,1,1.73,61.24,2,6,2
4,2,1,1.78,67.13,3,1,5
3,1,1,1.52,40.82,,1,1
3,2,1,1.73,107.96,3,7,1
3,2,1,1.8,63.5,2,6,2
3,1,1,1.63,56.7,3,1,3
4,2,1,1.85,68.04,3,1,2
3,2,1,1.63,44.45,2,1,2
4,2,1,,,,8,4
4,1,1,1.55,47.63,3,6,4
4,2,1,1.9,111.13,3,1,2
4,1,1,1.68,68.04,4,1,4
5,2,1,1.8,72.58,3,4,1
3,2,1,1.68,61.24,4,6,2
3,2,1,1.7,73.48,4,6,3
4,2,1,1.68,61.24,3,6,1
3,1,1,1.65,99.79,5,8,2
4,2,1,1.75,63.5,3,4,2
3,2,1,1.8,63.5,3,1,3
3,2,1,1.73,97.07,4,6,2
,1,1,,,3,1,2
4,2,1,1.68,52.16,3,4,2
3,1,1,1.68,56.7,3,1,3
4,2,1,1.68,51.26,3,1,3
3,1,1,1.63,45.36,3,6,2
4,2,1,,,3,6,1
4,1,1,1.57,49.9,3,1,1
4,2,1,1.63,56.7,3,1,4
4,2,1,1.83,72.58,3,5,1
4,2,1,1.75,72.58,2,6,1
3,1,1,1.78,49.9,4,6,3
3,2,1,1.73,58.97,4,6,4
3,1,1,,,,6,1
4,1,1,,,2,6,4
3,1,1,1.57,80.74,4,4,2
4,1,1,1.55,47.63,3,1,2
3,2,1,1.73,63.5,4,8,4
4,1,1,1.55,70.76,4,6,4
3,1,1,1.63,51.71,3,8,4
3,1,1,1.55,48.99,3,1,3
3,2,1,1.85,66.68,2,2,2
3,1,1,,,3,1,3
4,2,1,1.73,63.5,3,6,3
3,1,1,1.63,54.43,4,1,4
4,1,1,1.6,52.62,3,6,2
4,2,1,,,2,6,2
4,2,1,,,3,4,1
3,1,1,1.75,94.35,4,6,5
4,1,1,1.55,49.9,3,6,4
4,2,1,1.83,65.77,3,2,1
4,1,1,1.68,54.43,3,8,4
5,2,3,1.68,99.79,4,8,2
5,2,3,1.88,72.58,3,6,1
6,1,4,1.65,99.79,4,8,5
4,2,2,1.83,58.51,2,1,2
6,2,3,1.85,97.52,3,6,1
4,2,2,1.83,68.04,3,4,3
7,1,4,1.65,56.7,4,6,4
5,1,2,1.6,55.34,3,4,4
5,2,2,1.83,63.5,3,8,4
5,2,3,1.63,52.16,3,5,3
5,2,2,1.83,95.26,4,7,1
6,1,3,1.73,58.97,3,5,4
4,1,2,1.68,56.7,3,8,4
5,1,2,1.73,74.84,3,1,3
6,2,4,1.9,101.61,3,6,3
5,2,3,1.83,104.33,4,4,3
6,2,4,1.93,88.45,3,,2
6,1,3,1.55,68.04,5,6,5
4,2,2,1.73,77.11,3,8,1
5,2,2,1.65,56.7,2,5,4
6,1,4,,,3,6,1
5,2,2,1.7,60.78,3,1,2
